,sr_,degree_1,degree_1_specializations,campus,key_skills
9163,10164,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9164,10165,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9165,10166,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9166,10167,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9167,10168,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9168,10169,,Computer Science  Engineering,MITCOE,"['CPPProgramming', ' Core JAVA', ' CProgramming', ' MySql']"
9169,10170,,Electronics  Telecommunication Engineering,MITCOE,"['EmbeddedC', ' MATLAB', ' Cprogramming', ' Keil']"
9170,10171,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' Cprogramming', ' Keil']"
9171,10172,,Electronics  Telecommunication Engineering,MITCOE,"['EmbeddedC', ' MATLAB', ' Cprogramming', ' Keil']"
9172,10173,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' Cprogramming', ' Keil']"
9173,10174,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' C ']"
9174,10175,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9175,10176,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9176,10177,,Electronics  Telecommunication Engineering,MITCOE,"['EmbeddedC', ' MATLAB', ' C ']"
9177,10178,,Electronics  Telecommunication Engineering,"MIT,Pune","['EmbeddedC', ' MATLAB', ' C ']"
9178,10179,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9179,10180,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9180,10181,,Electronics  Telecommunication Engineering,MITCOE,"['C', 'PCB design']"
9181,10182,,Electronics  Telecommunication Engineering,MITAOE,"['C', 'PCB design']"
9182,10183,,Electronics  Telecommunication Engineering,"MIT,Pune","['C', 'PCB design']"
9183,10184,,Electronics  Telecommunication Engineering,MIT  WPU,"['EmbeddedC', ' MATLAB', ' C ']"
9184,10185,,Computer Science  Engineering,MITAOE,"['CPPProgramming', ' Core JAVA', ' CProgramming', ' MySql']"
9185,10186,,Computer Science  Engineering,MITCOE,"['CPPProgramming', ' Core JAVA', ' CProgramming', ' MySql']"
9186,10187,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' Cprogramming', ' Keil']"
9187,10188,,Computer Science  Engineering,MITCOE,"['Java', ' JavasCript', ' CPP', ' Laravel Phpframework  ', ' HTML', ' Android', ' php', ' CSS']"
9188,10189,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
